outcode,county
BT92,Fermanagh
BT93,Fermanagh
BT94,Fermanagh
CA1,Cumberland
CA10,Cumberland
CA11,Cumberland
CA12,Cumberland
CA13,Cumberland
CA14,Cumberland
CA15,Cumberland
CA16,Westmorland
CA17,Westmorland
CA18,Cumberland
CA19,Cumberland
CA2,Cumberland
CA20,Cumberland
CA21,Cumberland
CA22,Cumberland
CA23,Cumberland
CA24,Cumberland
CA25,Cumberland
CA26,Cumberland
CA27,Cumberland
CA28,Cumberland
CA3,Cumberland
CA4,Cumberland
CA5,Cumberland
CA6,Cumberland
CA7,Cumberland
CA8,Cumberland
CA9,Cumberland
CA95,Cumberland
CB1,Cambridgeshire
CB10,Essex
CB11,Essex
CB2,Cambridgeshire
CB21,Cambridgeshire
CB22,Cambridgeshire
CB23,Cambridgeshire
CB24,Cambridgeshire
CB25,Cambridgeshire
CB3,Cambridgeshire
CB4,Cambridgeshire
CB5,Cambridgeshire
CB6,Cambridgeshire
CB7,Cambridgeshire
CB8,Suffolk
CB9,Suffolk
CF10,Glamorgan
CF11,Glamorgan
CF14,Glamorgan
CF15,Glamorgan
CF23,Monmouthshire
CF24,Glamorgan
CF3,Monmouthshire
CF30,Monmouthshire
CF31,Glamorgan
CF32,Glamorgan
CF33,Glamorgan
CF34,Glamorgan
CF35,Glamorgan
CF36,Glamorgan
CF37,Glamorgan
CF38,Glamorgan
CF39,Glamorgan
CF40,Glamorgan
CF41,Glamorgan
CF42,Glamorgan
CF43,Glamorgan
CF44,Glamorgan
CF45,Glamorgan
CF46,Glamorgan
CF47,Glamorgan
CF48,Glamorgan
CF5,Glamorgan
CF61,Glamorgan
CF62,Glamorgan
CF63,Glamorgan
CF64,Glamorgan
CF71,Glamorgan
CF72,Glamorgan
CF81,Glamorgan
CF82,Glamorgan
CF83,Glamorgan
CF91,Glamorgan
CF95,Glamorgan
CF99,Glamorgan
CH1,Cheshire
CH2,Cheshire
CH25,Cheshire
CH26,Cheshire
CH27,Cheshire
CH28,Cheshire
CH29,Cheshire
CH3,Cheshire
CH30,Cheshire
CH31,Cheshire
CH32,Cheshire
CH33,Cheshire
CH34,Cheshire
CH4,Flintshire
CH41,Cheshire
CH42,Cheshire
CH43,Cheshire
CH44,Cheshire
CH45,Cheshire
CH46,Cheshire
CH47,Cheshire
CH48,Cheshire
CH49,Cheshire
CH5,Flintshire
CH6,Flintshire
CH60,Cheshire
CH61,Cheshire
CH62,Cheshire
CH63,Cheshire
CH64,Cheshire
CH65,Cheshire
CH66,Cheshire
CH7,Flintshire
CH70,Cheshire
CH8,Flintshire
CH88,Cheshire
CH99,Cheshire
CM0,Essex
CM1,Essex
CM11,Essex
CM12,Essex
CM13,Essex
CM14,Essex
CM15,Essex
CM16,Essex
CM17,Essex
CM18,Essex
CM19,Essex
CM2,Essex
CM20,Essex
CM21,Hertfordshire
CM22,Essex
CM23,Hertfordshire
CM24,Essex
CM3,Essex
CM4,Essex
CM5,Essex
CM6,Essex
CM7,Essex
CM77,Essex
CM8,Essex
CM9,Essex
CM92,Essex
CM98,Essex
CM99,Essex
CO1,Essex
CO10,Suffolk
CO11,Essex
CO12,Essex
CO13,Essex
CO14,Essex
CO15,Essex
CO16,Essex
CO2,Essex
CO3,Essex
CO4,Essex
CO5,Essex
CO6,Essex
CO7,Essex
CO8,Suffolk
CO9,Essex
CR0,Surrey
CR2,Surrey
CR3,Surrey
CR4,Surrey
CR5,Surrey
CR6,Surrey
CR7,Surrey
CR8,Surrey
CR9,Surrey
CR90,Surrey
CT1,Kent
CT10,Kent
CT11,Kent
CT12,Kent
CT13,Kent
CT14,Kent
CT15,Kent
CT16,Kent
CT17,Kent
CT18,Kent
CT19,Kent
CT2,Kent
CT20,Kent
CT21,Kent
CT3,Kent
CT4,Kent
CT5,Kent
CT50,Kent
CT6,Kent
CT7,Kent
CT8,Kent
CT9,Kent
